iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
1,-0.146149,17.7951,0.00508035,0,5.08333,0.338789,2.40264,0.0307213,0.189673,2.61234,0.000666667,1.47031,0.302486,7455.38,0.966015,0.68219,-0.1,0.02,1.64836,12288,0.00170906,0.000367495,0.00552468,0.00229677,-0.00402186,nan,0.0358648,nan,nan,nan,nan,-0.0012701,-0.00176474,-0.000790997,0.000545082,-0.00713314,-0.000590164,-0.000185819,-0.0378584,nan
2,0.0458048,32.6323,0.00635449,0,9.29167,0.361208,2.45211,0.0221977,-0.00443175,2.69818,0.000444444,0.0347624,0.303206,5015.85,1.28474,1.1651,-0.1,0.02,4.1002,24576,0.00278512,0.000767767,0.0122242,0.00445508,-0.00754385,nan,0.0646009,nan,nan,nan,nan,-0.00236106,-0.00475844,-0.00162221,0.000863229,-0.0131855,-0.000502242,-0.000305471,-0.0531273,nan
3,0.200017,43.9514,0.00703568,0,7.70833,0.354307,2.41704,0.0222354,-0.0131986,2.70334,0.000296296,0.0220665,0.303063,6056.57,1.26061,0.768261,-0.1,0.02,6.13286,36864,0.00388884,0.00122238,0.0172691,0.00585492,-0.0102233,nan,0.0867405,nan,nan,nan,nan,-0.00300583,-0.00754548,-0.0022895,0.0015,-0.017883,-0.000816216,-0.000445606,-0.0642661,nan
4,0.31598,53.3021,0.0075464,0,8,0.357779,2.44705,0.0242952,-0.0161093,2.69799,0.000197531,0.0202945,0.30293,7431.44,0.988306,0.66521,-0.1,0.02,7.7883,49152,0.00502689,0.00138048,0.0233486,0.00723705,-0.0125274,nan,0.105242,nan,nan,nan,nan,-0.00341816,-0.00999485,-0.0028738,0.00176823,-0.0216959,-0.000692708,-0.000500581,-0.076501,nan
5,0.345136,55.7212,0.0081798,0,8.66667,0.357139,2.44966,0.0241962,-0.0151364,2.69113,0.000197531,0.0187353,0.302705,6514.77,0.99188,0.894295,-0.1,0.02,9.67624,61440,0.00550942,0.00140557,0.0236059,0.00780188,-0.013152,nan,0.11237,nan,nan,nan,nan,-0.00362761,-0.0110728,-0.00305461,0.00205048,-0.0227288,-0.000725962,-0.000547935,-0.0805768,nan
6,0.515935,60.3114,0.00913791,0,6.95833,0.356148,2.43453,0.0241748,-0.0150816,2.6796,0.000197531,0.0171344,0.302373,6360.63,0.950587,0.981298,-0.1,0.02,11.6317,73728,0.00635297,0.00168941,0.0267724,0.00844671,-0.0142436,nan,0.120386,nan,nan,nan,nan,-0.00383549,-0.0118928,-0.00332564,0.00198204,-0.0245581,-0.000502994,-0.000556165,-0.0809183,nan
7,0.460718,60.3614,0.00842767,0,6.91667,0.3561,2.43151,0.0277782,-0.0146609,2.66659,0.000197531,0.0194524,0.302078,6966.82,0.866793,0.896995,-0.1,0.02,13.3975,86016,0.00574682,0.00161314,0.0273418,0.00837956,-0.0143014,nan,0.118952,nan,nan,nan,nan,-0.00376124,-0.0118638,-0.00335715,0.00212349,-0.0245577,-0.000680723,-0.000663167,-0.0819356,nan
8,0.69388,70.6883,0.00956046,0,6.41667,0.356597,2.41509,0.0275192,-0.0152648,2.65627,0.000197531,0.0197103,0.301888,7026.7,0.800694,0.948065,-0.1,0.02,15.1484,98304,0.0075087,0.00202848,0.0314246,0.00987784,-0.0166026,nan,0.142062,nan,nan,nan,nan,-0.00435626,-0.0146704,-0.00393303,0.0025,-0.0287329,-0.000681818,-0.000691962,-0.0910383,nan
9,0.579875,68.7179,0.0103193,0,6.5,0.359627,2.38102,0.0287092,-0.0172725,2.64892,0.000131687,0.0227424,0.30169,6440.41,0.907527,1.00042,-0.1,0.02,17.0585,110592,0.00654818,0.0020494,0.0313561,0.00946378,-0.0162661,nan,0.133952,nan,nan,nan,nan,-0.00417964,-0.0135709,-0.00373372,0.0023141,-0.0279746,-0.000410256,-0.000746702,-0.0898079,nan
10,0.73944,77.5515,0.0112695,0,5.66667,0.350353,2.40902,0.0295009,-0.0142581,2.64062,0.000131687,0.0197589,0.301479,7315.64,1.01487,0.66482,-0.1,0.02,18.74,122880,0.00738247,0.00229292,0.0355083,0.0108398,-0.0182326,nan,0.153993,nan,nan,nan,nan,-0.00468308,-0.0157832,-0.00434788,0.00272059,-0.0316823,-0.000632353,-0.000750669,-0.0996526,nan
