iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
1,-0.651908,17.7951,-0.0154314,0,5.08333,0.151879,1.38738,0.0381734,0.213533,2.59453,0.000666667,3.02605,0.301705,6712.28,1.27624,0.554435,-0.1,0.02,1.83088,12288,0.0103203,0.00113021,0.00552468,0.00229677,-0.00402186,nan,0.00062541,nan,nan,nan,nan,-0.00125854,-0.00174523,-0.000781578,0.00108197,-0.00713314,-0.000590164,-0.000185819,-0.0378584,nan
2,-0.856209,32.3105,-0.0204496,0,7.91667,0.183496,1.4427,0.0292588,-0.00154822,2.65756,0.000444444,0.0310528,0.30181,7650.87,1.09821,0.507884,-0.1,0.02,3.43876,24576,0.0180465,0.00182601,0.0118595,0.00425559,-0.00765592,nan,0.00259211,nan,nan,nan,nan,-0.00229047,-0.00494274,-0.00163227,0.0018,-0.0131436,-0.000478947,-0.000334688,-0.0527116,nan
3,-1.01886,45.574,-0.0203356,0,7.04167,0.184059,1.43741,0.0274823,-0.0130712,2.63743,0.000296296,0.0334561,0.301129,6954.15,1.25982,0.507186,-0.1,0.02,5.20746,36864,0.0230576,0.00283273,0.0193319,0.00566423,-0.011251,nan,0.00486331,nan,nan,nan,nan,-0.00301386,-0.00798878,-0.0023956,0.0030355,-0.0186689,-0.000497041,-0.000486676,-0.0654265,nan
4,-1.12947,54.9137,-0.0187886,0,5.79167,0.183654,1.41763,0.0252076,-0.0160651,2.61296,0.000197531,0.0207947,0.30054,7402.17,1.20534,0.454717,-0.1,0.02,6.86916,49152,0.0292681,0.00377028,0.0239149,0.0069443,-0.0134592,nan,0.00623022,nan,nan,nan,nan,-0.00337032,-0.0105249,-0.00306062,0.00361151,-0.0224174,-0.000402878,-0.000611025,-0.0763663,nan
5,-1.27365,66.0331,-0.0189015,0,6.29167,0.190831,1.39917,0.0240113,-0.0160017,2.59196,0.000197531,0.0181984,0.300082,7498.07,1.14306,0.495764,-0.1,0.02,8.50927,61440,0.0363733,0.00442747,0.030092,0.00801715,-0.0162709,nan,0.00809139,nan,nan,nan,nan,-0.00384117,-0.0122685,-0.00349925,0.00423179,-0.0270806,-0.000675497,-0.000684458,-0.0905952,nan
6,-1.45167,68.561,-0.0174813,0,5.125,0.192766,1.40741,0.0212732,-0.0151445,2.57143,0.000197531,0.0165074,0.299519,7112.02,1.07683,0.650945,-0.1,0.02,10.2387,73728,0.03114,0.00440841,0.0311698,0.00822563,-0.016842,nan,0.00825691,nan,nan,nan,nan,-0.00391014,-0.0130416,-0.00368396,0.00421138,-0.0280553,-0.000463415,-0.000746079,-0.0932533,nan
7,-1.31635,72.4925,-0.0168513,0,5.58333,0.189429,1.40314,0.0198038,-0.0150319,2.54843,0.000197531,0.0187726,0.298949,13700.9,0.578973,0.317902,-0.1,0.02,11.1373,86016,0.0362257,0.00548853,0.0341757,0.00903609,-0.0178881,nan,0.0084097,nan,nan,nan,nan,-0.00407717,-0.0134992,-0.00396221,0.00519403,-0.0296193,-0.000574627,-0.000783211,-0.0939435,nan
8,-1.49187,84.5608,-0.0170908,0,6.16667,0.194323,1.41263,0.0194204,-0.0147522,2.52529,0.000197531,0.0199876,0.298377,12873.2,0.578746,0.375795,-0.1,0.02,12.0931,98304,0.0418081,0.00546796,0.0398498,0.0104789,-0.0206781,nan,0.0106946,nan,nan,nan,nan,-0.0044763,-0.0165723,-0.00454959,0.00556081,-0.034444,-0.000635135,-0.000894713,-0.106204,nan
9,-1.46901,85.918,-0.0153074,0,5.08333,0.192731,1.36061,0.0197753,-0.0146631,2.5021,0.000197531,0.017946,0.297774,11828.7,0.621059,0.417772,-0.1,0.02,13.1333,110592,0.0413741,0.00564192,0.0419627,0.0105464,-0.020936,nan,0.0105533,nan,nan,nan,nan,-0.00452796,-0.015974,-0.00463977,0.00595082,-0.034952,-0.000696721,-0.000856262,-0.106897,nan
10,-1.51034,84.1118,-0.0153936,0,6.33333,0.189693,1.38023,0.0211321,-0.0159041,2.47944,0.000197531,0.0175868,0.297307,8990.4,0.63489,0.731901,-0.1,0.02,14.5015,122880,0.03596,0.00627803,0.0402756,0.009851,-0.0203733,nan,0.00987039,nan,nan,nan,nan,-0.00427641,-0.0153986,-0.00421986,0.00606579,-0.0341727,-0.0005,-0.000816705,-0.10406,nan
