iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence
601,0.55315,20,0.0568846,0,0.0416667,0.150988,1.05748,0.202134,-0.0105432,4.42493,0.000133333,0.0213579,0.349738,13065,0.565385,0.375143,-0.2,0.05,0.940664,7.38509e+06,0.00230346,0.000904988,0.00749726,0.000288635,-0.0118636,0.02,0.0007,nan,nan,nan,nan,-0.00218819,-0.00294988,-0.000189863,nan,-0.00853158,0,-0.00111087,-0.0323032,nan,0.00310038,0.002,0,0.05
602,0.996266,34.4,0.0622765,0,0.208333,0.143068,1.16646,0.264066,-0.00880986,4.4187,0.000133333,0.0104501,0.349644,14122.9,0.540946,0.329132,-0.2,0.05,1.81272,7.39738e+06,0.0068216,0.000589227,0.0179649,0.000606418,-0.0215304,0.0344,0.0054,nan,nan,nan,nan,-0.0035411,-0.00506823,-0.000501606,nan,-0.0143213,-0.0002,-0.00170077,-0.0352271,nan,0.00372171,0.0028,-0.0004,0.06
603,0.875507,56,0.063868,0,0.125,0.146607,1.1524,0.225172,-0.00843255,4.41642,0.000133333,0.0108597,0.34964,14421.8,0.525401,0.326645,-0.2,0.05,2.66616,7.40966e+06,0.00913622,0.00150003,0.0378617,0.000958348,-0.0367346,0.056,0.0105667,nan,nan,nan,nan,-0.00320062,-0.0088084,-0.00141097,nan,-0.0226432,-0.001,-0.00348676,-0.0643917,nan,0.00492865,0.00333333,-0.00133333,0.0625
604,4.3301,82.3333,0.0626429,0,0.125,0.142605,1.16279,0.23171,-0.00813721,4.41759,0.000133333,0.00920828,0.349653,15473.4,0.504571,0.289566,-0.2,0.05,3.46175,7.42195e+06,0.0218214,0.00173245,0.0529908,0.000985037,-0.0524299,0.0823333,0.0202667,nan,nan,nan,nan,-0.0060155,-0.0105173,-0.00196267,nan,-0.0330906,-0.000333333,-0.00432851,-0.0684666,nan,0.00551956,0.008,0,0.2
605,5.908,113.167,0.062222,0,0.25,0.143028,1.18987,0.248073,-0.0098204,4.41497,0.000133333,0.0137149,0.349464,14538,0.519628,0.325607,-0.2,0.05,4.30844,7.43424e+06,0.0349436,0.0046179,0.0821643,0.00157576,-0.0704188,0.113167,0.0261667,nan,nan,nan,nan,-0.00631548,-0.0164119,-0.0029304,nan,-0.0455247,-0.000166667,-0.00590464,-0.085645,nan,0.00716626,0.0123333,-0.00133333,0.247917
606,7.31514,126.5,0.0614453,0,0.166667,0.144492,1.18635,0.233707,-0.00861755,4.40998,0.000133333,0.0145609,0.349467,13336.4,0.542952,0.378435,-0.2,0.05,5.23127,7.44653e+06,0.0776499,0.00185882,0.0919856,0.00162202,-0.0790051,0.1265,0.030475,nan,nan,nan,nan,-0.00654592,-0.0190353,-0.00376569,nan,-0.0509216,-0.00025,-0.0067271,-0.101136,nan,0.00605213,0.012,-0.0025,0.2875
607,8.60851,155.25,0.0611535,0,0.166667,0.143933,1.14469,0.240813,-0.0103845,4.41147,0.000133333,0.0156676,0.349456,12173.6,0.562455,0.446939,-0.2,0.05,6.24197,7.45882e+06,0.0472107,0.0101463,0.116959,0.00180248,-0.0957985,0.15525,0.03825,nan,nan,nan,nan,-0.00725263,-0.0231403,-0.00401396,nan,-0.0623566,-0.00025,-0.00856507,-0.129918,nan,0.00472704,0.016,-0.0005,0.371875
608,9.61588,179.4,0.061354,0,0.208333,0.143097,1.18276,0.258901,-0.00870499,4.40957,0.000133333,0.00713654,0.349384,15477.6,0.509863,0.284059,-0.2,0.05,7.0374,7.4711e+06,0.0389656,0.00785126,0.132698,0.0023209,-0.109296,0.1794,0.04674,nan,nan,nan,nan,-0.00873464,-0.0249019,-0.00432123,nan,-0.0716009,-0.0004,-0.0103663,-0.133848,nan,0.00738605,0.0176,-0.0012,0.4125
609,9.4003,201.6,0.0600841,0,0.208333,0.142549,1.17662,0.253527,-0.00870911,4.40459,0.000133333,0.0108979,0.349117,14362.6,0.49328,0.362274,-0.2,0.05,7.89425,7.48339e+06,0.0411642,0.00778534,0.155112,0.00294848,-0.127928,0.2016,0.0472,nan,nan,nan,nan,-0.00990516,-0.0263148,-0.00484368,nan,-0.0802571,-0.0002,-0.0127615,-0.1443,nan,0.00511622,0.0196,-0.004,0.4
610,12.2877,224.75,0.0611537,0,0.166667,0.141764,1.19404,0.241326,-0.0116121,4.39612,8.88889e-05,0.0241102,0.349005,13337.5,0.548625,0.372686,-0.2,0.05,8.81748,7.49568e+06,0.048118,0.009266,0.173713,0.00324662,-0.139359,0.22475,0.056225,nan,nan,nan,nan,-0.00987801,-0.0265751,-0.00607673,nan,-0.0896176,-0.00025,-0.011673,-0.169661,nan,0.00540726,0.021,-0.0055,0.53125
