iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/undesired_contacts,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/under_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence
1,-1.1388,17.7951,-0.0219007,0,5.08333,0.151879,1.38738,0.240121,0.223353,2.61509,0.000666667,2.12561,0.302701,15533.4,0.521492,0.269577,-0.1,0.02,0.791209,12288,0.00550828,0.000396674,0.00552468,0.00229677,-0.00402186,0.0177951,0.000654098,nan,nan,nan,nan,-0.00125928,-0.00174149,-0.000775101,nan,-0.00713314,-0.000590164,-0.000185819,-0.0378584,nan,-0.0368607,0.0162654,0.00603279,-0.0417049,-0.000491803,0.021209
2,-1.39296,32.1474,-0.034967,0,10.4583,0.173983,1.49995,0.247959,-0.00516966,2.71532,0.000444444,0.0286572,0.303788,14741.7,0.584546,0.24901,-0.1,0.02,1.62639,24576,0.00984961,0.000493621,0.0120074,0.00435476,-0.00759988,0.0321474,0.00270956,nan,nan,nan,nan,-0.00223228,-0.00474425,-0.00165322,nan,-0.0130645,-0.000406375,-0.000363001,-0.0540449,nan,-0.0713426,0.0347648,0.0138645,-0.0716972,-0.00134661,0.0486554
3,-1.52842,41.8933,-0.0307272,0,9.375,0.172212,1.49675,0.214537,-0.0115427,2.73004,0.000296296,0.022897,0.30379,13948.5,0.625315,0.25564,-0.1,0.02,2.50872,36864,0.0113712,0.000785498,0.0170373,0.0054959,-0.0100985,0.0418933,0.00461022,nan,nan,nan,nan,-0.00271693,-0.00684097,-0.00223836,nan,-0.0172554,-0.000795556,-0.000550645,-0.0662528,nan,-0.0928667,0.0455993,0.0185067,-0.0923022,-0.00163556,0.0718333
4,-1.57455,46.3204,-0.0302192,0,8.58333,0.17092,1.51688,0.243044,-0.0151885,2.72324,0.000197531,0.0297792,0.303351,10592.3,0.723304,0.436785,-0.1,0.02,3.67036,49152,0.0152799,0.000690905,0.0189031,0.0059188,-0.0113106,0.0463204,0.00529029,nan,nan,nan,nan,-0.00301316,-0.00834785,-0.00264414,nan,-0.0190893,-0.00115534,-0.00061038,-0.0714573,nan,-0.104985,0.0500824,0.0205049,-0.100932,-0.00172816,0.0835558
5,-1.6356,49.3908,-0.0279264,0,9.91667,0.169291,1.48012,0.208582,-0.0148853,2.70832,0.000197531,0.0168819,0.303147,11654.4,0.686921,0.367446,-0.1,0.02,4.72655,61440,0.01331,0.000917258,0.0209269,0.00643695,-0.0120579,0.0493908,0.00556555,nan,nan,nan,nan,-0.00316302,-0.00880206,-0.00286567,nan,-0.020327,-0.000915966,-0.000736618,-0.0750936,nan,-0.108176,0.0540461,0.0237479,-0.106992,-0.00228571,0.0852941
6,-1.45594,51.5094,-0.0249427,0,8.83333,0.167725,1.48173,0.211737,-0.0149398,2.69896,0.000197531,0.0118023,0.302844,10906.3,0.709158,0.417531,-0.1,0.02,5.85528,73728,0.0161289,0.000910856,0.0218507,0.00656784,-0.0125979,0.0515094,0.00596132,nan,nan,nan,nan,-0.00314828,-0.00888307,-0.00289414,nan,-0.0212439,-0.00113208,-0.000749159,-0.0763194,nan,-0.112019,0.0567371,0.0233585,-0.111038,-0.00214151,0.0963443
7,-1.53394,55.9095,-0.0240752,0,9.20833,0.173104,1.51326,0.208186,-0.0147656,2.68599,0.000131687,0.0230871,0.302501,11596.4,0.725323,0.334315,-0.1,0.02,6.91723,86016,0.0168907,0.000857511,0.024934,0.00738195,-0.0137948,0.0559095,0.00683801,nan,nan,nan,nan,-0.003348,-0.00957557,-0.00316718,nan,-0.0230849,-0.0010362,-0.000822783,-0.0819122,nan,-0.114516,0.0633165,0.0254661,-0.120127,-0.00255204,0.0956448
8,-1.36501,55.4563,-0.0211762,0,8.58333,0.165819,1.4929,0.193106,-0.0147083,2.6769,0.000131687,0.0173758,0.302439,12567.8,0.567446,0.410288,-0.1,0.02,7.89625,98304,0.0164287,0.00100164,0.0240652,0.00729687,-0.0137065,0.0554563,0.00672233,nan,nan,nan,nan,-0.00338823,-0.00986684,-0.00325546,nan,-0.0228601,-0.00118447,-0.000802419,-0.0822411,nan,-0.116752,0.061649,0.0259029,-0.117165,-0.00240777,0.106857
9,-1.36223,61.7455,-0.0208301,0,9.33333,0.163933,1.5304,0.191472,-0.014078,2.67513,0.000131687,0.0147993,0.302338,12006.7,0.677871,0.345555,-0.1,0.02,8.92217,110592,0.0184994,0.00114881,0.0271965,0.00803014,-0.0150941,0.0617455,0.00765045,nan,nan,nan,nan,-0.00360581,-0.0109752,-0.00345227,nan,-0.0254595,-0.00120982,-0.000946509,-0.0900683,nan,-0.127165,0.0719715,0.0285714,-0.131411,-0.00267857,0.119141
10,-1.18249,52.815,-0.0160405,0,8.33333,0.165398,1.50024,0.20205,-0.0138664,2.66986,0.000131687,0.00959285,0.302201,12227.6,0.664501,0.340435,-0.1,0.02,9.92863,122880,0.0172987,0.000946963,0.0231028,0.00707026,-0.0127903,0.052815,0.006366,nan,nan,nan,nan,-0.00318604,-0.00886661,-0.00299876,nan,-0.0217168,-0.0009,-0.000883144,-0.0768049,nan,-0.104595,0.0612298,0.02446,-0.11236,-0.00225,0.0949375
11,-1.07884,58.1789,-0.0146926,0,7.91667,0.170236,1.5143,0.205301,-0.0139883,2.66287,0.000131687,0.0165066,0.301973,12373.6,0.678254,0.314825,-0.1,0.02,10.923,135168,0.0170335,0.00106802,0.026234,0.00777079,-0.0141747,0.0581789,0.007,nan,nan,nan,nan,-0.0033172,-0.00929873,-0.00333286,nan,-0.0238682,-0.00113158,-0.000944379,-0.0838914,nan,-0.109737,0.0683792,0.0269053,-0.122316,-0.00226316,0.107763
12,-1.08907,56.1333,-0.0169419,0,9.375,0.16682,1.55355,0.205378,-0.0139703,2.65286,0.000131687,0.0193525,0.301706,12912.1,0.610045,0.34162,-0.1,0.02,11.876,147456,0.0191311,0.00102981,0.0248462,0.00755535,-0.013702,0.0561333,0.00671644,nan,nan,nan,nan,-0.00336301,-0.00953854,-0.00321068,nan,-0.023014,-0.000755556,-0.00100045,-0.0811661,nan,-0.103653,0.0666781,0.0263467,-0.118507,-0.00225778,0.0972778
13,-1.01051,60.5417,-0.0160992,0,9,0.163664,1.50361,0.199703,-0.0139521,2.6428,0.000131687,0.0172976,0.301482,12095.4,0.655444,0.360483,-0.1,0.02,12.8944,159744,0.0198112,0.00115199,0.0274583,0.00842574,-0.0146809,0.0605417,0.00730602,nan,nan,nan,nan,-0.0035758,-0.0104017,-0.00351076,nan,-0.0248844,-0.000842593,-0.000997196,-0.0859455,nan,-0.115806,0.0719864,0.029463,-0.126148,-0.00266667,0.112789
14,-0.827834,55.1073,-0.0144401,0,9.70833,0.163229,1.47434,0.192585,-0.0152487,2.63502,8.77915e-05,0.020464,0.301318,12437.6,0.665892,0.322083,-0.1,0.02,13.884,172032,0.0175405,0.00100586,0.0244798,0.00744203,-0.0134731,0.0551073,0.00662833,nan,nan,nan,nan,-0.0032153,-0.00910068,-0.00322083,nan,-0.0226378,-0.000678112,-0.000926813,-0.0782777,nan,-0.0989742,0.0656086,0.0264034,-0.116635,-0.00243777,0.10397
15,-1.02637,57.2533,-0.00983056,0,9.375,0.160809,1.48612,0.202199,-0.0134509,2.62937,8.77915e-05,0.011719,0.301191,13618.1,0.606212,0.29612,-0.1,0.02,14.7879,184320,0.0170947,0.00105946,0.0256551,0.00771619,-0.0139798,0.0572533,0.00670533,nan,nan,nan,nan,-0.00333897,-0.00909398,-0.00339323,nan,-0.0235171,-0.00092,-0.00098989,-0.0816394,nan,-0.101347,0.0690831,0.0264889,-0.120142,-0.00234667,0.0983333
16,-0.562694,55.6053,-0.0081149,0,7.91667,0.159747,1.49321,0.206838,-0.0126973,2.62486,5.85277e-05,0.0203686,0.301106,15916.3,0.526426,0.245613,-0.1,0.02,15.5613,196608,0.0195535,0.00105805,0.0252882,0.00776119,-0.0133872,0.0556053,0.00652211,nan,nan,nan,nan,-0.00330896,-0.00913309,-0.00324162,nan,-0.0227658,-0.000705263,-0.00098595,-0.0810316,nan,-0.0966947,0.068797,0.0265895,-0.116505,-0.00201053,0.110461
17,-0.663735,62.9882,-0.00811768,0,7.08333,0.166728,1.52412,0.216675,-0.011867,2.62231,5.85277e-05,0.0160647,0.301053,16149.9,0.511523,0.24935,-0.1,0.02,16.3236,208896,0.0178192,0.00105758,0.029242,0.00891843,-0.0152492,0.0629882,0.00771765,nan,nan,nan,nan,-0.00364545,-0.0105167,-0.00376394,nan,-0.0257702,-0.000729412,-0.00119625,-0.0877087,nan,-0.106412,0.0786677,0.0319294,-0.131765,-0.00256471,0.117794
18,-0.582474,58.3883,-0.00876128,0,8.58333,0.16777,1.52193,0.218297,-0.0115686,2.61975,5.85277e-05,0.0126652,0.300977,16018.7,0.515274,0.251828,-0.1,0.02,17.0922,221184,0.0196679,0.00097213,0.026027,0.00817884,-0.0142028,0.0583883,0.0069,nan,nan,nan,nan,-0.00349972,-0.00937769,-0.00343283,nan,-0.0238655,-0.000839806,-0.00117543,-0.0809838,nan,-0.0945291,0.0737192,0.0266602,-0.12266,-0.00253398,0.107464
19,-0.364369,63.3298,-0.00340669,0,7.95833,0.16961,1.49158,0.228606,-0.0115269,2.61708,3.90184e-05,0.0231943,0.300924,15676.8,0.50091,0.282924,-0.1,0.02,17.8774,233472,0.020047,0.001221,0.0297897,0.00890284,-0.0154514,0.0633298,0.00768429,nan,nan,nan,nan,-0.00374794,-0.0107895,-0.00378363,nan,-0.0258844,-0.000659686,-0.00136101,-0.0875298,nan,-0.0994084,0.0802865,0.0307435,-0.132209,-0.00308901,0.123691
