iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/joint_vel,Episode_Reward/undesired_contacts,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/under_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence,Episode_Reward/termination
1001,-11.5476,14,-0.05812,0,0.0416667,0.13517,1.20884,0.675297,-0.006388,2.57786,0.0002,0.0158905,0.29992,15542.9,0.518179,0.272408,-0.1,0.15,0.790727,1.23003e+07,2.84392e-05,9.26827e-07,0.00599539,0.000781753,-0.00316197,0.014,-0.0004,nan,nan,nan,nan,-0.00226103,-0.00231536,-0.0005687,nan,-0.00514193,0,-0.00332426,-0.0223586,nan,-0.0228727,-0.018,0.0142175,0.004,-0.036,0,0,-0.5
1002,-13.5582,35.2143,-0.0646952,0,0.583333,0.146026,1.35496,1.57255,-0.00130957,2.57603,0.000133333,0.0252362,0.299952,11976.7,0.589696,0.436298,-0.1,0.15,1.81845,1.23126e+07,0.0120622,0.000378608,0.0138389,0.00149153,-0.0105519,0.0352143,-0.00484286,nan,nan,nan,nan,-0.00375595,-0.0110445,-0.00223564,nan,-0.0136247,-0.000285714,-0.00723482,-0.0517455,nan,-0.0574191,-0.0627857,0.0403451,0.0111429,-0.088,-0.000285714,0.0214286,-0.5
1003,-15.4713,61.8571,-0.0650173,0,0.583333,0.144477,1.35188,1.63685,-0.00782888,2.57923,8.88889e-05,0.0215715,0.300046,17142.1,0.474526,0.242306,-0.1,0.15,2.53665,1.23249e+07,0.0102645,0.00128652,0.0268471,0.0021636,-0.0183015,0.0618571,-0.00865714,nan,nan,nan,nan,-0.00522387,-0.0219871,-0.00419966,nan,-0.0236959,0,-0.0140581,-0.0847509,nan,-0.0997468,-0.103929,0.0728174,0.0205714,-0.134,-0.00171429,0.0508929,-0.5
1004,-16.4245,82,-0.0613047,0,0.375,0.142609,1.33797,1.24991,-0.00505548,2.58297,8.88889e-05,0.0130444,0.300129,17061.2,0.473049,0.247181,-0.1,0.15,3.25827,1.23372e+07,0.0157616,0.000798822,0.0355108,0.00328641,-0.024915,0.082,-0.01,nan,nan,nan,nan,-0.00643334,-0.031315,-0.0057578,nan,-0.0313065,0,-0.0189396,-0.10434,nan,-0.133144,-0.150333,0.10268,0.0266667,-0.177333,-0.00244444,0.108333,-0.5
1005,-16.5118,97.1818,-0.0608443,0,0.458333,0.144097,1.33531,1.21543,-0.00560642,2.58577,8.88889e-05,0.0137197,0.300181,16627,0.497264,0.241773,-0.1,0.15,3.99876,1.23494e+07,0.0336596,0.00164599,0.0493791,0.00303831,-0.0273087,0.0971818,-0.0152727,nan,nan,nan,nan,-0.00585146,-0.0242376,-0.00589145,nan,-0.0365544,0,-0.0212852,-0.118442,nan,-0.134952,-0.153,0.118667,0.0392727,-0.194909,-0.00345455,0.0727273,-0.5
1006,-17.7023,131.75,-0.0530744,0,0.166667,0.141772,1.30502,0.798408,-0.00670883,2.58774,8.88889e-05,0.0136621,0.300244,16939.7,0.485377,0.240019,-0.1,0.15,4.72695,1.23617e+07,0.0393277,0.00529077,0.0635256,0.00564196,-0.0376271,0.13175,-0.0187,nan,nan,nan,nan,-0.00876279,-0.0409124,-0.00896573,nan,-0.0490346,0,-0.0302468,-0.14198,nan,-0.188999,-0.23175,0.167077,0.049,-0.266,-0.005,0.18125,-0.5
1007,-21.3602,147.222,-0.0550287,0,0.375,0.142874,1.28386,0.914358,-0.00509296,2.59035,8.88889e-05,0.0149109,0.300293,17396.6,0.467086,0.23926,-0.1,0.15,5.43465,1.2374e+07,0.0470153,0.00362294,0.0709922,0.00541849,-0.0426795,0.147222,-0.0217111,nan,nan,nan,nan,-0.0104341,-0.0508526,-0.0108601,nan,-0.0560835,0,-0.0325325,-0.18349,nan,-0.216067,-0.255667,0.190761,0.0524444,-0.311556,-0.00466667,0.111111,-0.5
1008,-21.1912,161.25,-0.0521336,0,0.333333,0.142243,1.27692,0.656973,-0.00706874,2.59156,8.88889e-05,0.0136922,0.300306,16022.9,0.51377,0.253134,-0.1,0.15,6.20282,1.23863e+07,0.0540823,0.00403827,0.075912,0.00602542,-0.0462189,0.16125,-0.024475,nan,nan,nan,nan,-0.0114351,-0.0624048,-0.0117751,nan,-0.0610549,0,-0.0365702,-0.174859,nan,-0.238587,-0.26925,0.216698,0.0675,-0.3315,-0.0035,0.126562,-0.5
1009,-22.1527,176.857,-0.0496618,0,0.291667,0.143677,1.27532,0.714213,-0.00412029,2.59199,8.88889e-05,0.0126131,0.300309,17102,0.476772,0.241741,-0.1,0.15,6.92254,1.23986e+07,0.0464573,0.00391215,0.0860872,0.00574831,-0.0500237,0.176857,-0.0139143,nan,nan,nan,nan,-0.0103679,-0.057969,-0.0101906,nan,-0.0655264,0,-0.0402182,-0.187601,nan,-0.251176,-0.283286,0.231435,0.0565714,-0.365714,-0.00371429,0.125,-0.5
1010,-20.8271,200.25,-0.0531078,0,0.333333,0.147258,1.25749,0.52138,-0.00525983,2.59145,5.92593e-05,0.0203644,0.300287,17153.2,0.474037,0.24233,-0.1,0.15,7.64014,1.24109e+07,0.0683112,0.00523662,0.114499,0.00730136,-0.0532942,0.20025,-0.0428,nan,nan,nan,nan,-0.0111546,-0.0413649,-0.0136659,nan,-0.0728924,0,-0.0457773,-0.209517,nan,-0.253255,-0.285375,0.259583,0.1025,-0.4055,-0.00975,0.145313,-0.5
1011,-25.3745,241.429,-0.0477183,0,0.291667,0.142944,1.24896,0.469607,-0.00805824,2.59068,5.92593e-05,0.00975146,0.300275,12968.4,0.585031,0.362501,-0.1,0.15,8.58895,1.24232e+07,0.0794041,0.00652427,0.134757,0.00759588,-0.0670524,0.241429,-0.0414286,nan,nan,nan,nan,-0.0139534,-0.0628537,-0.0180287,nan,-0.0895591,-0.000714286,-0.0542339,-0.263927,nan,-0.326447,-0.379714,0.324334,0.108571,-0.484,-0.00514286,0.135714,-0.5
