iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/no_progress,Episode_Reward/joint_vel,Episode_Reward/undesired_contacts,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/under_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence,Episode_Reward/termination
1401,-13.4943,15.5,-0.104516,0,0.0833333,0.126497,1.0636,0.538262,-0.00674716,2.57311,0.0002,0.018326,0.299708,11774.9,0.59504,0.448534,-0.4,0.15,1.04374,1.72155e+07,0.000316317,0.000435055,0.00424412,0.000728309,-0.0170477,0.0155,-0.0044,nan,nan,nan,nan,-0.0024778,-0.00188196,-0.000888925,nan,-0.00568854,0,-0.00343371,-0.0240803,nan,-0.0655354,-0.024463,-0.0225,0.0124584,0.002,-0.038,0,0,-0.5
1402,-16.3875,40.6,-0.0990158,0,0.416667,0.136892,1.15055,0.686648,0.00911886,2.56518,0.000133333,0.0309742,0.299571,12754.2,0.625909,0.337536,-0.4,0.15,2.00968,1.72278e+07,0.00604013,0.00121017,0.0145894,0.000972482,-0.0400542,0.0406,-0.00652,nan,nan,nan,nan,-0.00607273,-0.00633147,-0.00199756,nan,-0.0144319,-0.0002,-0.0109538,-0.0397273,nan,-0.126791,-0.0468936,-0.066,0.0356886,0.0152,-0.0936,-0.0016,0.0275,-0.5
1403,-17.3353,58.6667,-0.0984638,0,0.375,0.136217,1.14719,0.602464,-0.00462853,2.55961,0.000133333,0.0121381,0.299384,12816.7,0.6083,0.350452,-0.4,0.15,2.97004,1.72401e+07,0.0106133,0.00168346,0.0269162,0.00127613,-0.0557442,0.0586667,-0.00886667,nan,nan,nan,nan,-0.00635345,-0.0142506,-0.00298039,nan,-0.0201313,-0.000555556,-0.0176771,-0.0600589,nan,-0.173013,-0.0640024,-0.0713333,0.0685489,0.0311111,-0.110222,-0.000666667,0.0402778,-0.5
1404,-21.8008,80.3333,-0.0970286,0,0.125,0.136811,1.1386,0.563576,-0.00339028,2.55178,0.000133333,0.0113123,0.299265,15075,0.526959,0.288166,-0.4,0.15,3.78757,1.72524e+07,0.00755023,0.00384581,0.0390785,0.000928151,-0.0787819,0.0803333,-0.0121333,nan,nan,nan,nan,-0.00772879,-0.0125592,-0.00381198,nan,-0.0276375,0,-0.026464,-0.0749819,nan,-0.281393,-0.0811447,-0.115,0.0930256,0.0413333,-0.150667,-0.00466667,0.0208333,-0.5
1405,-20.0356,105.75,-0.0970084,0,0.166667,0.137563,1.13092,0.517258,0.000713504,2.54956,0.000133333,0.00858969,0.299208,15194,0.506217,0.302522,-0.4,0.15,4.59768,1.72646e+07,0.0294496,0.00343764,0.0590724,0.00127155,-0.100855,0.10575,-0.0147,nan,nan,nan,nan,-0.00578591,-0.0134868,-0.0044793,nan,-0.035377,0,-0.0329154,-0.0954321,nan,-0.291166,-0.103112,-0.1125,0.144508,0.039,-0.201,-0.0025,0.05625,-0.5
1406,-22.6311,129.375,-0.100845,0,0.333333,0.135546,1.13397,0.507883,-0.00356037,2.54487,0.000133333,0.0160762,0.299006,13669.2,0.565741,0.333212,-0.4,0.15,5.49792,1.72769e+07,0.0762483,0.00534385,0.0776111,0.00120135,-0.119276,0.129375,-0.02515,nan,nan,nan,nan,-0.0075989,-0.0170349,-0.00599208,nan,-0.042681,-0.000625,-0.0419636,-0.107418,nan,-0.397809,-0.121688,-0.131625,0.16324,0.078,-0.22,-0.00625,0.0328125,-0.5
1407,-30.8104,157.5,-0.0932055,0,0.0833333,0.137737,1.10955,0.410424,-0.00313783,2.53559,0.000133333,0.0162452,0.298778,12120.4,0.604886,0.408944,-0.4,0.15,6.51331,1.72892e+07,0.0220299,0.00213944,0.0911825,0.00239739,-0.147937,0.1575,-0.0331,nan,nan,nan,nan,-0.00946982,-0.0279142,-0.00857891,nan,-0.0525653,0,-0.0480397,-0.134161,nan,-0.63153,-0.154869,-0.2085,0.207647,0.1,-0.292,-0.006,0.13125,-0.5
1408,-33.0408,189,-0.0929668,0,0.0416667,0.140851,1.11958,0.478848,0.00101309,2.52607,0.000133333,0.0176469,0.29855,13602.1,0.592163,0.31123,-0.4,0.15,7.41846,1.73015e+07,0.0925741,0.00502111,0.108359,0.00227989,-0.17659,0.189,-0.0322,nan,nan,nan,nan,-0.0108073,-0.0276338,-0.00893062,nan,-0.06471,0,-0.0571486,-0.148745,nan,-0.681478,-0.179793,-0.234,0.225262,0.124,-0.36,-0.004,0.0875,-0.5
1409,-30.7321,206.667,-0.0959774,0,0.125,0.137241,1.12785,0.400973,0.00128567,2.51848,0.000133333,0.010738,0.298385,13917,0.536552,0.346394,-0.4,0.15,8.30257,1.73138e+07,0.0647803,0.00651991,0.130002,0.00226973,-0.19579,0.206667,-0.0485333,nan,nan,nan,nan,-0.00991474,-0.0316917,-0.0115575,nan,-0.0675143,0,-0.0712336,-0.168515,nan,-0.634949,-0.190176,-0.188,0.25153,0.152,-0.326667,-0.01,0.104167,-0.5
1410,nan,nan,-0.0867895,0,0,0.136608,1.09643,0.374279,-0.0038048,2.50968,0.000133333,0.0155622,0.298096,12990.8,0.592583,0.353317,-0.4,0.15,9.25003,1.73261e+07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1411,-33.0495,226.5,-0.090711,0,0.0833333,0.136383,1.09594,0.316627,-0.00364975,2.49891,0.000133333,0.0157689,0.297917,13441.2,0.574013,0.340194,-0.4,0.15,10.1656,1.73384e+07,0.133405,0.0102159,0.147787,0.00199259,-0.209762,0.2265,-0.0509,nan,nan,nan,nan,-0.0100929,-0.0296445,-0.0125691,nan,-0.0734951,-0.0005,-0.0776679,-0.220208,nan,-0.663826,-0.202303,-0.246,0.297342,0.172,-0.388,-0.013,0.05625,-0.5
