iter,mean_ep_return,mean_ep_len,kl,lr,std,seconds
1,nan,nan,0.00000,1.000e-05,0.1000,1.0
2,-1.2995,44.15,0.00000,1.000e-05,0.1000,2.0
3,-1.3498,54.65,0.00000,1.000e-05,0.1000,3.1
4,-0.9999,61.63,0.00000,1.000e-05,0.1000,4.1
5,-0.5079,69.13,0.00000,1.000e-05,0.1000,5.0
6,0.0926,76.73,0.00000,1.000e-05,0.1000,6.0
7,0.8440,84.31,0.00000,1.000e-05,0.1000,7.0
8,1.3345,91.92,0.00000,1.000e-05,0.1000,8.0
9,2.0920,102.52,0.00000,1.000e-05,0.1000,9.0
10,2.6078,108.56,0.00000,1.000e-05,0.1000,10.0
11,2.9760,113.60,0.04190,1.000e-05,0.1000,11.0
12,3.3575,117.76,0.02209,1.000e-05,0.1000,12.0
13,4.0172,124.69,0.02728,1.000e-05,0.1000,13.0
14,4.2121,128.02,0.02373,1.000e-05,0.1000,14.0
15,4.3824,131.14,0.02882,1.000e-05,0.1000,15.0
16,4.5451,132.93,0.02678,1.000e-05,0.1000,15.9
17,4.8217,136.47,0.02239,1.000e-05,0.1001,16.9
18,5.1738,139.89,0.03259,1.000e-05,0.1001,17.9
19,5.6665,144.94,0.03058,1.000e-05,0.1001,19.5
20,5.7119,146.09,0.01942,1.000e-05,0.1001,20.7
21,5.9641,149.62,0.02193,1.000e-05,0.1001,22.0
22,6.3346,154.90,0.02406,1.000e-05,0.1001,23.2
23,7.1882,164.48,0.02444,1.000e-05,0.1001,24.5
24,7.6434,170.09,0.02981,1.000e-05,0.1001,25.6
25,7.8305,172.71,0.01872,1.000e-05,0.1001,26.5
26,8.3834,179.25,0.01284,1.000e-05,0.1001,27.5
27,9.2376,188.78,0.02451,1.000e-05,0.1001,28.4
28,10.1331,197.79,0.01909,1.000e-05,0.1001,29.7
29,10.4174,201.23,0.02129,1.000e-05,0.1001,31.1
30,10.6973,204.24,0.02100,1.000e-05,0.1001,32.3
31,11.1259,209.16,0.02033,1.000e-05,0.1001,33.3
32,11.4889,213.04,0.01837,1.000e-05,0.1002,34.5
