iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2
1,nan,nan,0.0803584,0,0,0.147218,0.352498,0.589146,-5.33881e-08,-15.9056,1e-05,0,0.1,14788.9,0.542497,0.288394,-1,0.2,0.831363,12288,nan,nan,nan,nan,nan
2,-3.12072,44.1481,0.0546307,0,1.125,0.151332,0.707161,0.952914,-3.83996e-08,-15.9056,1e-05,0,0.1,12782.2,0.681504,0.279836,-1,0.2,1.79423,24576,0.028308,0.0216325,0.0808956,0.0172122,-0.304084
3,-3.80716,60.5625,0.0650078,0,2,0.139357,0.563717,0.882619,1.02213e-08,-15.9056,1e-05,0,0.1,12863.1,0.701287,0.254003,-1,0.2,2.75077,36864,0.0390124,0.0334413,0.112401,0.0223979,-0.397611
4,-2.76477,85.4091,0.0698102,0,0.916667,0.129018,0.502286,0.891183,6.24568e-09,-15.9056,1e-05,0,0.1,13123,0.685518,0.25085,-1,0.2,3.68838,49152,0.0705487,0.0655653,0.159382,0.0367867,-0.470521
5,-1.63775,90.5294,0.0674434,0,1.41667,0.130326,0.552238,0.941735,4.09535e-08,-15.9056,1e-05,0,0.1,12825.6,0.709819,0.248268,-1,0.2,4.6477,61440,0.074646,0.0696635,0.169983,0.0407726,-0.436953
6,-0.122496,109.9,0.0721381,0,1.25,0.124857,0.519461,0.793193,-8.40228e-09,-15.9056,1e-05,0,0.1,12342.4,0.732336,0.263254,-1,0.2,5.64455,73728,0.108932,0.0963956,0.207624,0.0521935,-0.47127
7,2.08497,125,0.0713535,0,1.25,0.126855,0.529011,0.833142,-5.03769e-08,-15.9056,1e-05,0,0.1,12385.4,0.70886,0.283278,-1,0.2,6.63786,86016,0.127461,0.115591,0.238328,0.0607262,-0.437858
8,1.24436,143.821,0.0677842,0,1.16667,0.124309,0.539228,0.939156,-1.41736e-09,-15.9056,1e-05,0,0.1,12166.6,0.740664,0.269316,-1,0.2,7.64935,98304,0.147184,0.13219,0.273356,0.0681739,-0.558686
9,2.79784,163.632,0.0724378,0,1.58333,0.123965,0.508548,0.793263,1.95345e-08,-15.9056,1e-05,0,0.1,11548.5,0.792235,0.271796,-1,0.2,8.71462,110592,0.167954,0.158904,0.312952,0.0782705,-0.578188
10,3.89567,158.581,0.0746837,0,1.29167,0.117883,0.500356,0.828304,-5.3179e-08,-15.9056,1e-05,0,0.1,12138.4,0.766193,0.246128,-1,0.2,9.72847,122880,0.166399,0.156806,0.302399,0.0793995,-0.51022
