iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2
1,nan,nan,0.0900802,0,0,0.147218,0.352498,0.698279,8.97824e-08,-15.9056,1e-05,0,0.1,14094.7,0.58,0.291814,-1,0.2,0.872265,12288,nan,nan,nan,nan,nan
2,-2.51585,44.1481,0.0631721,0,1.125,0.151332,0.707161,0.979013,-1.04774e-08,-15.9056,1e-05,0,0.1,13484.4,0.66086,0.250416,-1,0.2,1.78524,24576,0.0585513,0.0216325,0.0808956,0.0172122,-0.304084
3,-2.96854,60.5625,0.072838,0,2,0.139357,0.563717,0.936148,5.70843e-08,-15.9056,1e-05,0,0.1,12887.6,0.706402,0.247076,-1,0.2,2.73993,36864,0.0809438,0.0334413,0.112401,0.0223979,-0.397611
4,-1.68897,85.4091,0.077572,0,0.916667,0.129018,0.502286,0.947082,3.3743e-08,-15.9056,1e-05,0,0.1,12544.1,0.730537,0.249046,-1,0.2,3.72076,49152,0.124339,0.0655653,0.159382,0.0367867,-0.470521
5,-0.418813,90.5294,0.0749639,0,1.41667,0.130326,0.552238,0.985582,1.59351e-08,-15.9056,1e-05,0,0.1,11462.5,0.80902,0.262997,-1,0.2,4.79422,61440,0.135593,0.0696635,0.169983,0.0407726,-0.436953
6,1.19233,109.9,0.0794906,0,1.25,0.124857,0.519461,0.842003,-2.15252e-08,-15.9056,1e-05,0,0.1,10825,0.856174,0.278975,-1,0.2,5.93059,73728,0.174673,0.0963956,0.207624,0.0521935,-0.47127
7,3.53895,125,0.0786792,0,1.25,0.126855,0.529011,0.875917,1.76791e-08,-15.9056,1e-05,0,0.1,8610.38,0.979189,0.447925,-1,0.2,7.35891,86016,0.20016,0.115591,0.238328,0.0607262,-0.437858
8,2.94981,143.821,0.0748972,0,1.16667,0.124309,0.539228,0.971971,7.11564e-08,-15.9056,1e-05,0,0.1,8239.52,1.09069,0.40066,-1,0.2,8.85221,98304,0.232456,0.13219,0.273356,0.0681739,-0.558686
9,4.7456,163.632,0.0795946,0,1.58333,0.123965,0.508548,0.832697,-5.72734e-08,-15.9056,1e-05,0,0.1,8590.13,1.05436,0.376121,-1,0.2,10.2843,110592,0.265342,0.158904,0.312952,0.0782705,-0.578188
10,5.75438,158.581,0.0815305,0,1.29167,0.117883,0.500356,0.868804,-1.31003e-08,-15.9056,1e-05,0,0.1,8033.38,1.17607,0.353549,-1,0.2,11.8161,122880,0.259335,0.156806,0.302399,0.0793995,-0.51022
