iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/air_time,Episode_Reward/foot_clearance,Episode_Reward/foot_slip
1,-0.880359,21.2255,-0.0378025,0,14.0417,0.319704,1.31707,0.0473763,-0.0115258,25.4606,0.000666667,0.0394037,0.992348,8654.51,1.14044,0.279402,-0.1,0.02,1.41998,12288,0.012671,0.00897221,0.0189925,0.00636906,-0.0750781,-0.0151602,-7.51125e-05,-0.000709219
2,-1.00948,24.252,-0.0428907,0,20.5,0.344186,1.37493,0.0391707,-0.0203177,25.3401,0.000444444,0.0266486,0.985338,6653.18,1.57292,0.274018,-0.1018,0.02036,3.26848,24576,0.0155085,0.0099555,0.0218589,0.00720908,-0.085587,-0.0185569,-8.32998e-05,-0.000779029
3,-1.06974,24.1673,-0.0438173,0,20.9167,0.352342,1.34262,0.0249917,-0.0219405,25.2192,0.000444444,0.0112449,0.978842,5680.65,1.76474,0.398389,-0.1036,0.02072,5.43297,36864,0.0142954,0.00992944,0.0217914,0.00723755,-0.0853286,-0.0205578,-8.42001e-05,-0.000769923
4,-1.04556,23.5204,-0.0440918,0,22.4167,0.342651,1.33715,0.0213208,-0.0236915,25.0896,0.000296296,0.0213729,0.971651,5254.29,1.99594,0.342721,-0.1054,0.02108,7.77364,49152,0.0145782,0.00999162,0.0211631,0.00704761,-0.0841646,-0.0200688,-8.26937e-05,-0.000742455
5,-0.96677,22.7024,-0.0428914,0,22.5417,0.33746,1.31915,0.0202884,-0.0221876,24.9781,0.000197531,0.029039,0.966605,5028.07,2.09689,0.346988,-0.1072,0.02144,10.219,61440,0.0144736,0.00963446,0.0203788,0.0068155,-0.0806419,-0.0182144,-8.10732e-05,-0.000703469
6,-0.949316,21.8576,-0.043605,0,23.7083,0.34286,1.28546,0.017971,-0.0222689,24.8947,0.000131687,0.0236435,0.9627,5117.24,2.076,0.325291,-0.109,0.0218,12.6219,73728,0.0136332,0.00964408,0.0196027,0.00655745,-0.0782773,-0.0178717,-7.93558e-05,-0.000674937
7,-0.889279,20.3712,-0.0440329,0,25.7083,0.346101,1.30487,0.0179927,-0.0191822,24.8313,8.77915e-05,0.0207503,0.959839,4999.11,2.08465,0.37339,-0.1108,0.02216,15.0815,86016,0.0122822,0.00880817,0.0181498,0.00607777,-0.0726107,-0.0164506,-7.49613e-05,-0.000645679
8,-0.833486,18.7829,-0.0442471,0,27.8333,0.3514,1.29031,0.0164816,-0.0164114,24.7858,8.77915e-05,0.0171343,0.95792,4721.58,2.24131,0.361208,-0.1126,0.02252,17.6857,98304,0.0112137,0.00826108,0.0166144,0.00555634,-0.0671936,-0.0154596,-7.24953e-05,-0.000594125
9,-0.784532,17.7786,-0.0438307,0,29.9167,0.342169,1.27083,0.01478,-0.015726,24.7493,8.77915e-05,0.0151274,0.955959,4630.14,2.30552,0.348396,-0.1144,0.02288,20.3414,110592,0.0106756,0.0079323,0.0156779,0.0052352,-0.0637285,-0.0143802,-7.04205e-05,-0.00056848
10,-0.752432,17.0139,-0.0449763,0,30,0.337366,1.26933,0.0143311,-0.0168654,24.7123,5.85277e-05,0.0236374,0.954008,4642.87,2.27643,0.370204,-0.1162,0.02324,22.9896,122880,0.0103515,0.00757905,0.0149327,0.00498102,-0.0614639,-0.0133792,-7.01567e-05,-0.000552521
