iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/foot_clearance,Episode_Reward/foot_slip
1,1.50879,22.8687,0.0706328,0,8.25,0.293824,0.770697,0.100714,0.0542843,13.1065,0.000666667,0.104553,0.502573,9988.12,0.878136,0.352126,-0.1,0.02,1.23045,12288,0.0147722,0.0154508,0.0206072,0.00846279,-0.0202078,0.0457374,-0.00900505,-1.49097e-05,-0.00036295
2,1.77197,26.1378,0.0664326,0,17.5417,0.313059,0.806779,0.0513605,-0.0154773,13.1728,0.000444444,0.0495303,0.50339,11731.6,0.784411,0.263014,-0.1018,0.02036,2.27933,24576,0.0185649,0.0179436,0.0237557,0.00985293,-0.023593,0.0522755,-0.00981473,-1.52017e-05,-0.000371412
3,1.70783,26.37,0.0670904,0,18.9167,0.305787,0.794162,0.0335328,-0.0241967,13.1823,0.000296296,0.0428596,0.503229,7442.12,1.24128,0.409868,-0.1036,0.02072,3.93165,36864,0.017326,0.0173163,0.0238964,0.0100603,-0.0244688,0.0527401,-0.0110969,-1.40572e-05,-0.000367638
4,1.76086,26.7836,0.066881,0,19.8333,0.304219,0.790968,0.0311356,-0.0259782,13.1781,0.000197531,0.0346743,0.503234,7223.64,1.3038,0.39728,-0.1054,0.02108,5.6342,49152,0.0188178,0.0180091,0.0243115,0.0102028,-0.0252781,0.0535672,-0.0111933,-1.44102e-05,-0.000379846
5,1.86147,28.3445,0.0659343,0,19.9583,0.318121,0.761934,0.0281332,-0.0268875,13.1792,0.000131687,0.0333869,0.503223,7924.47,1.07262,0.478025,-0.1072,0.02144,7.18664,61440,0.0200496,0.0191892,0.0257777,0.0108697,-0.0274932,0.0566889,-0.0116013,-1.54351e-05,-0.000391576
6,2.00274,30.2769,0.0659689,0,18.2083,0.324353,0.74,0.032236,-0.0231868,13.1755,8.77915e-05,0.0360918,0.502972,7771.15,1.13425,0.446985,-0.109,0.0218,8.76966,73728,0.0210622,0.0219747,0.0276472,0.0116511,-0.0299207,0.0605538,-0.0124096,-1.69808e-05,-0.000404712
7,2.23743,32.7862,0.0688704,0,12.0833,0.287386,0.740513,0.0618522,-0.0208376,13.168,5.85277e-05,0.0273606,0.502867,7628.56,1.1554,0.455393,-0.1108,0.02216,10.3825,86016,0.0247984,0.0237488,0.0301466,0.0127161,-0.0327887,0.0655724,-0.0118828,-1.76455e-05,-0.000421717
8,2.50384,36.3255,0.0709892,0,12.4167,0.264183,0.734746,0.172096,-0.016611,13.1658,3.90184e-05,0.0214775,0.502829,8209.51,1.08266,0.414145,-0.1126,0.02252,11.881,98304,0.0292792,0.0261429,0.0336344,0.0141261,-0.0368293,0.072651,-0.0133456,-1.95724e-05,-0.00044717
9,2.70119,38.9664,0.0701467,0,12.4167,0.272499,0.73116,0.331456,-0.0108386,13.1655,3.90184e-05,0.0100858,0.50288,7944.71,1.11197,0.434723,-0.1144,0.02288,13.429,110592,0.0317729,0.0277253,0.0362803,0.0151956,-0.0400268,0.0779329,-0.0133188,-2.14573e-05,-0.000480625
10,3.24214,45.2727,0.071841,0,10.0833,0.238748,0.72799,0.451367,-0.00973946,13.168,3.90184e-05,0.010681,0.502953,8618.3,1.06723,0.35857,-0.1162,0.02324,14.8566,122880,0.0407849,0.0331835,0.0424393,0.0177027,-0.0471194,0.0905455,-0.0149256,-2.23018e-05,-0.000481587
