iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/trot,Episode_Reward/joint_torque
1,-0.828231,21.7969,-0.02661,0,10.875,0.380093,1.5991,0.0549222,-0.0131005,25.4633,0.000666667,0.0455529,0.993475,11229.8,0.787295,0.306939,-0.1,0.02,1.09443,12288,0.0148514,0.00598226,0.0159147,0.0108124,-0.076853,nan,0.00126437,0.0108238,0.00195464,-0.00012636,-0.00124277,-7.00379e-05,-0.00627586,-0.00153263,-0.0169141,-1.73298e-07,nan,nan,nan,nan
2,-0.844056,25.8891,-0.0279007,0,18.4167,0.404095,1.64656,0.0600378,-0.0245395,25.3759,0.000444444,0.0248947,0.988193,11170.4,0.806959,0.293094,-0.1,0.02,2.19641,24576,0.0197344,0.00797391,0.0210148,0.0123561,-0.0910834,nan,0.0016086,0.0123801,0.00222547,-0.000145993,-0.00139288,-8.37809e-05,-0.00823303,-0.00183482,-0.0167222,-1.79454e-07,nan,nan,nan,nan
3,-0.762155,26.8322,-0.0247324,0,18.625,0.400769,1.64604,0.0339458,-0.0262177,25.2781,0.000296296,0.0308142,0.98253,10494.3,0.81172,0.359203,-0.1,0.02,3.36902,36864,0.02091,0.00843303,0.0222825,0.0135214,-0.093634,nan,0.00169799,0.0130447,0.00229723,-0.000155378,-0.00149284,-8.37296e-05,-0.00680313,-0.00161511,-0.0165103,-1.77703e-07,nan,nan,nan,nan
4,-0.699447,27.5973,-0.0210703,0,18.4167,0.396003,1.61328,0.0306012,-0.0244282,25.1819,0.000197531,0.0301608,0.977745,8267.99,1.0741,0.412111,-0.1,0.02,4.85724,49152,0.0213076,0.00898063,0.0233318,0.0137546,-0.0951022,nan,0.00224661,0.0135905,0.0025382,-0.000165435,-0.00147847,-8.92184e-05,-0.00578054,-0.00153516,-0.0165711,-1.80746e-07,nan,nan,nan,nan
5,-0.619556,28.8535,-0.0179493,0,17.9167,0.389092,1.59151,0.027326,-0.0207107,25.1025,0.000131687,0.023335,0.973989,8789.16,1.03044,0.367642,-0.1,0.02,6.25771,61440,0.0237321,0.00967041,0.0248596,0.0147557,-0.0993806,nan,0.00226047,0.0140395,0.00263564,-0.000167531,-0.00152308,-8.84339e-05,-0.00415814,-0.00126233,-0.0163511,-1.76651e-07,nan,nan,nan,nan
6,-0.533741,30.2473,-0.0152665,0,15.6667,0.380594,1.61183,0.0225191,-0.0175573,25.0428,0.000131687,0.0197452,0.971316,8621.11,0.994615,0.430724,-0.1,0.02,7.68481,73728,0.0248982,0.0108216,0.0265628,0.0155652,-0.103363,nan,0.0036383,0.0147261,0.00300265,-0.000193459,-0.00151423,-9.22706e-05,-0.00318351,-0.000980851,-0.0165743,-1.80797e-07,nan,nan,nan,nan
7,-0.482224,32.8104,-0.0127765,0,15.1667,0.374635,1.59669,0.0222968,-0.01664,24.9929,8.77915e-05,0.0235037,0.968636,9110.02,0.92771,0.421135,-0.1,0.02,9.03526,86016,0.0278217,0.0119886,0.0302113,0.0166459,-0.111357,nan,0.00378297,0.0162582,0.00305323,-0.000205673,-0.00166824,-0.000102714,-0.00266484,-0.000944561,-0.0169304,-1.80894e-07,nan,nan,nan,nan
8,-0.387578,33.8696,-0.00963354,0,14.375,0.36262,1.60984,0.0253673,-0.0141802,24.9516,8.77915e-05,0.0175688,0.966885,7964.72,1.12088,0.421923,-0.1,0.02,10.5796,98304,0.0300885,0.0124989,0.0312623,0.0170412,-0.11385,nan,0.00509565,0.0164928,0.00349629,-0.000225269,-0.00167827,-0.000100792,-0.00186957,-0.000751625,-0.0168786,-1.85031e-07,nan,nan,nan,nan
9,-0.327293,34.6322,-0.00798566,0,14.5,0.353313,1.58928,0.0277759,-0.0140262,24.9196,8.77915e-05,0.0144673,0.965256,9813.69,0.869933,0.382196,-0.1,0.02,11.8338,110592,0.0306457,0.0130616,0.0316477,0.0181511,-0.115344,nan,0.00575,0.0173305,0.00371909,-0.000237764,-0.00170497,-0.000102897,-0.00187644,-0.000682482,-0.0167216,-1.7922e-07,nan,nan,nan,nan
10,-0.298357,36.064,-0.00637088,0,14.3333,0.344847,1.56316,0.0332044,-0.0133232,24.8904,8.77915e-05,0.01609,0.963713,7170.97,1.32148,0.392094,-0.1,0.02,13.5487,122880,0.0326133,0.0139177,0.033713,0.0190617,-0.119946,nan,0.00551163,0.0177471,0.00363355,-0.000235555,-0.00175751,-0.000105888,-0.00203488,-0.000675632,-0.0163598,-1.75539e-07,nan,nan,nan,nan
