iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
1,-1.10851,21.8327,-0.0382174,0,10.9583,0.394835,1.60216,0.0693167,-0.0117757,25.4656,0.000666667,0.0494683,0.993644,12203.5,0.720902,0.286023,-0.1,0.02,1.00719,12288,0.0141605,0.00581457,0.0159118,0.0108088,-0.0770034,nan,0.00114068,-0.00012707,-0.00126506,-7.15489e-05,-0.00626616,-0.00153751,-0.0169908,-1.74031e-07
2,-1.14925,25.9501,-0.0392598,0,18.375,0.402854,1.63861,0.0758736,-0.0240879,25.3868,0.000444444,0.0246253,0.989411,11071.6,0.844066,0.265805,-0.1,0.02,2.11861,24576,0.0190578,0.00798192,0.0211424,0.0124854,-0.0913157,nan,0.00168707,-0.000149362,-0.00140781,-8.51966e-05,-0.00821088,-0.0018903,-0.0167576,-1.79217e-07
3,-1.07802,26.7694,-0.0363568,0,18.25,0.405009,1.64243,0.0383677,-0.0254557,25.3046,0.000296296,0.0280277,0.984033,11450.8,0.815579,0.257531,-0.1,0.02,3.19313,36864,0.0207048,0.00847706,0.0221771,0.0133989,-0.0932697,nan,0.00193836,-0.000153098,-0.0014335,-8.24114e-05,-0.00728082,-0.00169216,-0.0166856,-1.78273e-07
4,-1.04418,27.6689,-0.0340364,0,18.75,0.401624,1.6396,0.0279083,-0.0235677,25.2091,0.000197531,0.0289551,0.979301,11966.7,0.777072,0.249777,-0.1,0.02,4.22143,49152,0.0212625,0.0091283,0.0235425,0.0135499,-0.0956268,nan,0.00214667,-0.00016051,-0.00145705,-8.92599e-05,-0.00632444,-0.00151641,-0.0166641,-1.8005e-07
5,-0.983031,28.3254,-0.0299746,0,17.5417,0.386464,1.62467,0.022452,-0.0203897,25.1286,0.000131687,0.0204183,0.975193,9578.62,0.928303,0.354554,-0.1,0.02,5.5057,61440,0.0225479,0.00921766,0.0243113,0.0142707,-0.0976738,nan,0.00221615,-0.00016369,-0.00150851,-8.88317e-05,-0.00433967,-0.00125773,-0.016683,-1.766e-07
6,-0.910951,30.1962,-0.0298475,0,17.4167,0.386983,1.61995,0.0190752,-0.0178058,25.0615,8.77915e-05,0.0273785,0.972144,8819.87,0.983349,0.409869,-0.1,0.02,6.90059,73728,0.0251635,0.0106244,0.0267268,0.015127,-0.103217,nan,0.00248325,-0.00017394,-0.00159295,-9.14033e-05,-0.00303349,-0.000965552,-0.0165979,-1.75991e-07
7,-0.848504,31.0411,-0.0251402,0,15.2083,0.364203,1.58798,0.0177642,-0.0138499,25.0137,8.77915e-05,0.0182678,0.970036,8059.48,1.18551,0.339159,-0.1,0.02,8.42698,86016,0.0266156,0.0110319,0.0281553,0.0158267,-0.105176,nan,0.00280274,-0.000177341,-0.00160137,-9.44613e-05,-0.0022411,-0.000743697,-0.0168233,-1.74556e-07
8,-0.820953,32.2708,-0.0237064,0,16,0.364873,1.60548,0.0195159,-0.0129833,24.9747,8.77915e-05,0.0103592,0.968004,9647.23,0.910492,0.363242,-0.1,0.02,9.70219,98304,0.0281602,0.0117171,0.0286811,0.0164346,-0.108449,nan,0.003375,-0.000190036,-0.00166722,-9.70626e-05,-0.0018724,-0.000649314,-0.0164906,-1.74141e-07
9,-0.782435,32.9062,-0.0236197,0,16,0.365486,1.62209,0.0181483,-0.0131999,24.9382,8.77915e-05,0.0111127,0.96609,7808.44,1.19646,0.377218,-0.1,0.02,11.278,110592,0.0290868,0.0117426,0.0306264,0.0175573,-0.109945,nan,0.00283594,-0.000193178,-0.00170336,-9.93493e-05,-0.00160156,-0.000557338,-0.0168712,-1.75912e-07
10,-0.73446,32.4016,-0.0205921,0,15.25,0.343993,1.55661,0.0182436,-0.0127142,24.903,8.77915e-05,0.0164645,0.964229,9672.47,0.958095,0.312315,-0.1,0.02,12.5501,122880,0.0291267,0.011714,0.029106,0.0177721,-0.107488,nan,0.00363115,-0.000186217,-0.00165227,-9.55081e-05,-0.00161202,-0.000572034,-0.0164666,-1.67996e-07
11,-0.712981,33.4831,-0.0212768,0,14.75,0.34469,1.55814,0.0200997,-0.0133742,24.8687,8.77915e-05,0.0127911,0.962411,8611.48,1.05378,0.373154,-0.1,0.02,13.9784,135168,0.0307948,0.0129401,0.0309476,0.0185965,-0.11153,nan,0.0039322,-0.000203228,-0.00169666,-9.58456e-05,-0.00185876,-0.000554506,-0.0169208,-1.74049e-07
12,-0.696134,35.1063,-0.01733,0,14.5,0.333901,1.54072,0.0212843,-0.0133928,24.8358,8.77915e-05,0.014175,0.960739,8904.68,1.02842,0.35153,-0.1,0.02,15.3598,147456,0.033209,0.0134935,0.0325861,0.0190947,-0.116695,nan,0.00426724,-0.000202144,-0.00174006,-9.92329e-05,-0.00138506,-0.00053628,-0.0167996,-1.70143e-07
13,-0.659385,35.2447,-0.0181576,0,13.7917,0.331955,1.53608,0.019305,-0.0139156,24.8049,8.77915e-05,0.0147763,0.959083,8698.77,1.09947,0.313139,-0.1,0.02,16.774,159744,0.0328588,0.0137653,0.0328581,0.020116,-0.11633,nan,0.0040423,-0.000193632,-0.00178619,-0.000101119,-0.0016284,-0.000471082,-0.016099,-1.63801e-07
14,-0.631715,35.7457,-0.0175781,0,14.4167,0.33788,1.53718,0.0199375,-0.0131972,24.7742,8.77915e-05,0.0154276,0.957492,8983.5,0.971179,0.396662,-0.1,0.02,18.1434,172032,0.033935,0.0139148,0.0332313,0.020572,-0.11785,nan,0.00421387,-0.000204455,-0.00178011,-0.000100191,-0.00122254,-0.000541189,-0.0157539,-1.62973e-07
15,-0.607964,36.6646,-0.0154638,0,13.6667,0.329809,1.51299,0.0204988,-0.0126919,24.7447,8.77915e-05,0.0148893,0.955919,8402.91,1.10784,0.354513,-0.1,0.02,19.6074,184320,0.03528,0.0145482,0.0335417,0.0208696,-0.119747,nan,0.00485671,-0.000219083,-0.00182052,-0.000103076,-0.00130488,-0.000535409,-0.015764,-1.64021e-07
16,-0.557398,36.3383,-0.0142629,0,13.9167,0.322116,1.47702,0.0221351,-0.013624,24.7148,8.77915e-05,0.0195704,0.954336,8967.68,1.00432,0.365938,-0.1,0.02,20.979,196608,0.0351236,0.0146451,0.0338855,0.0205971,-0.118754,nan,0.00645808,-0.000226987,-0.00171706,-9.98107e-05,-0.00117964,-0.000533239,-0.0160678,-1.64421e-07
17,-0.563322,38.1411,-0.0136665,0,13.2917,0.323693,1.46894,0.021466,-0.012766,24.6861,8.77915e-05,0.00867184,0.952888,8569.17,1.07243,0.361545,-0.1,0.02,22.4147,208896,0.0369252,0.0157317,0.0360492,0.0219931,-0.123513,nan,0.00559561,-0.000234554,-0.00187156,-0.000105876,-0.00168025,-0.000678459,-0.016377,-1.67823e-07
18,-0.500364,38.197,-0.0142049,0,13.9583,0.32622,1.50637,0.0225098,-0.0120756,24.6592,8.77915e-05,0.0138597,0.951467,8551.26,1.06015,0.376833,-0.1,0.02,23.8533,221184,0.0383041,0.0158723,0.0360875,0.0218196,-0.123679,nan,0.00701194,-0.000244691,-0.00177886,-0.000104837,-0.00163881,-0.000696974,-0.0159707,-1.64411e-07
19,-0.529602,37.4503,-0.014055,0,13.4167,0.320334,1.47926,0.0247159,-0.0122261,24.6325,8.77915e-05,0.012502,0.95008,8932.85,1.02375,0.351849,-0.1,0.02,25.2305,233472,0.0363705,0.0156009,0.0347616,0.0217547,-0.121355,nan,0.00703416,-0.000262725,-0.00176859,-0.000104363,-0.00192857,-0.00084138,-0.0157416,-1.62238e-07
20,-0.5088,38.0093,-0.0134122,0,13.5,0.32682,1.49201,0.0219616,-0.0124451,24.6053,8.77915e-05,0.0111272,0.948561,8028.64,1.08483,0.445689,-0.1,0.02,26.7629,245760,0.0372042,0.0155848,0.0361105,0.0223106,-0.122535,nan,0.00760185,-0.000254113,-0.00180837,-0.000105962,-0.0026142,-0.000937819,-0.0159959,-1.69622e-07
