iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
1,-0.6844,21.7969,-0.0220866,0,10.875,0.380093,1.5991,0.0531717,-0.0130085,25.4643,0.000666667,0.0415665,0.99356,11057,0.819081,0.292255,-0.1,0.02,1.11164,12288,0.0148514,0.00598226,0.0159147,0.0108124,-0.076853,nan,0.00126437,0.0108276,0.00914234,-0.00012636,-0.00124277,-7.00379e-05,-0.00627586,-0.00153263,-0.0169141,-1.73298e-07
2,-0.679632,25.9029,-0.022289,0,18.4583,0.40428,1.65099,0.0552522,-0.0250534,25.3802,0.000444444,0.0245681,0.988644,11554.2,0.793729,0.269777,-0.1,0.02,2.1766,24576,0.0196384,0.00798086,0.021042,0.0123326,-0.0911407,nan,0.00163205,0.0124989,0.0104341,-0.000146636,-0.00139591,-8.38149e-05,-0.00819413,-0.00183305,-0.0167461,-1.79887e-07
3,-0.609804,26.8724,-0.01853,0,18.2917,0.401234,1.64711,0.0353143,-0.0261338,25.2865,0.000296296,0.0317007,0.982918,11818.7,0.773638,0.266066,-0.1,0.02,3.21791,36864,0.0208536,0.00851876,0.0224659,0.0134322,-0.0937959,nan,0.00160592,0.0131503,0.0106479,-0.000154791,-0.00148505,-8.4222e-05,-0.00743964,-0.00165356,-0.0165515,-1.78378e-07
4,-0.488709,27.6169,-0.0137363,0,18.7083,0.396462,1.62434,0.0321983,-0.0241799,25.1923,0.000197531,0.0275495,0.978676,12716.2,0.71632,0.250009,-0.1,0.02,4.18573,49152,0.0216455,0.00892697,0.0232807,0.0137468,-0.0952328,nan,0.00261247,0.0134031,0.0126007,-0.000166919,-0.00145794,-8.90089e-05,-0.00560579,-0.00151663,-0.0165824,-1.84187e-07
5,-0.409129,28.631,-0.011597,0,17.5,0.402194,1.63753,0.0307164,-0.02113,25.1231,0.000197531,0.019722,0.975249,12929.6,0.70292,0.247457,-0.1,0.02,5.13759,61440,0.0229205,0.00948184,0.0247765,0.0147492,-0.0986312,nan,0.00264286,0.0140452,0.0130511,-0.000176663,-0.001492,-8.93929e-05,-0.00399048,-0.00124599,-0.0164978,-1.83245e-07
6,-0.292358,30.1145,-0.00682895,0,16.375,0.390901,1.65328,0.0325447,-0.0205757,25.0579,0.000131687,0.0271952,0.97175,12700,0.713292,0.254269,-0.1,0.02,6.1065,73728,0.0236187,0.0105156,0.0265707,0.0154999,-0.102282,nan,0.00380153,0.0148397,0.0154393,-0.000204603,-0.0014794,-9.53251e-05,-0.00298982,-0.001035,-0.016817,-1.91344e-07
7,-0.189417,32.6292,-0.00356761,0,14.8333,0.383564,1.68615,0.0361468,-0.0172263,25.005,8.77915e-05,0.0259556,0.969498,12774.6,0.712131,0.249775,-0.1,0.02,7.06973,86016,0.0272703,0.0114803,0.0300221,0.0159734,-0.110837,nan,0.00542697,0.0165843,0.0177712,-0.000240682,-0.00153756,-0.000101091,-0.00311798,-0.000950897,-0.0172141,-1.9934e-07
8,-0.0906631,35.1534,-0.00216158,0,15.2083,0.390139,1.69309,0.0381977,-0.0150206,24.9691,8.77915e-05,0.0194467,0.967923,11754.5,0.760284,0.285101,-0.1,0.02,8.11644,98304,0.0303185,0.0126203,0.0324632,0.0172711,-0.117673,nan,0.00618082,0.0176356,0.0192196,-0.000268307,-0.00166632,-0.000106953,-0.00248219,-0.000818817,-0.0172262,-2.02629e-07
9,0.00895805,33.7072,0.00252522,0,14.375,0.383085,1.69155,0.0407278,-0.0148161,24.9413,8.77915e-05,0.0190102,0.966569,12214.3,0.743506,0.262524,-0.1,0.02,9.12402,110592,0.0281718,0.01207,0.0312132,0.0172058,-0.111986,nan,0.00718261,0.0173014,0.0204817,-0.000286364,-0.00158554,-0.000106239,-0.00131304,-0.000681571,-0.01722,-2.0416e-07
10,0.128912,35.2206,0.00450572,0,14.5417,0.378568,1.72684,0.0531671,-0.0152463,24.9183,8.77915e-05,0.0197897,0.965432,13109.8,0.687858,0.249455,-0.1,0.02,10.0637,122880,0.0294803,0.0123045,0.0325028,0.017678,-0.116731,nan,0.0103238,0.0186046,0.0250813,-0.00036527,-0.00152713,-0.000105677,-0.0024212,-0.000829415,-0.0175494,-2.06255e-07
11,0.287517,35.6408,0.00783811,0,14.5,0.375064,1.70465,0.0572873,-0.0149428,24.8976,8.77915e-05,0.0194436,0.964339,10810.1,0.850628,0.286084,-0.1,0.02,11.2017,135168,0.031479,0.0130685,0.0332419,0.0179358,-0.117831,nan,0.0119138,0.0190603,0.0278588,-0.000435681,-0.00143988,-0.000103474,-0.00199713,-0.000765512,-0.0176098,-2.12092e-07
12,0.291768,35.3664,0.0124148,0,13.875,0.356859,1.69717,0.059338,-0.0137953,24.8786,8.77915e-05,0.0162874,0.963428,11925.1,0.774022,0.256412,-0.1,0.02,12.2335,147456,0.0304511,0.0130553,0.0322389,0.0174784,-0.117901,nan,0.0131892,0.0192823,0.0289865,-0.000467822,-0.00143233,-0.000100524,-0.00222823,-0.000729284,-0.0172335,-2.08424e-07
13,0.459215,35.8997,0.0128645,0,14.125,0.361093,1.72062,0.063801,-0.0145793,24.8615,8.77915e-05,0.015323,0.962446,12076.8,0.738469,0.279021,-0.1,0.02,13.2525,159744,0.0318541,0.0132287,0.0320666,0.0178821,-0.117685,nan,0.0149558,0.0203835,0.0319356,-0.000598358,-0.00142489,-9.50843e-05,-0.0020295,-0.000807682,-0.0167045,-2.00895e-07
14,0.525132,37.4517,0.0161213,0,13.375,0.355421,1.70167,0.074042,-0.0118223,24.8425,8.77915e-05,0.0115787,0.961427,10906.6,0.831977,0.294683,-0.1,0.02,14.381,172032,0.0336407,0.013616,0.033638,0.0179719,-0.123707,nan,0.0164486,0.0215234,0.0352868,-0.000668551,-0.00139633,-9.75817e-05,-0.00238629,-0.000992351,-0.0166204,-2.03038e-07
15,0.62474,37.6524,0.0174856,0,13.6667,0.346777,1.67114,0.0775155,-0.0127884,24.8238,8.77915e-05,0.0164818,0.960459,10442.3,0.811765,0.364983,-0.1,0.02,15.5593,184320,0.0337988,0.0138306,0.0341165,0.0180211,-0.123612,nan,0.0172409,0.0214878,0.0378151,-0.000724165,-0.00138002,-9.79892e-05,-0.001875,-0.00105686,-0.0163271,-2.02869e-07
16,0.705082,37.6,0.0196739,0,13.3333,0.351514,1.6781,0.0757672,-0.0117248,24.8062,8.77915e-05,0.0142224,0.959567,12096.6,0.764981,0.250843,-0.1,0.02,16.5767,196608,0.0350902,0.0139723,0.033324,0.0179384,-0.123848,nan,0.01815,0.0222656,0.0399063,-0.000825349,-0.00131572,-9.73185e-05,-0.00211563,-0.0010554,-0.0161351,-2.00657e-07
17,0.761928,38.6195,0.0210453,0,13.25,0.357701,1.68989,0.0685393,-0.0140033,24.7901,8.77915e-05,0.0129738,0.958742,11925.9,0.755469,0.274893,-0.1,0.02,17.6085,208896,0.0345258,0.0139572,0.0341693,0.0174107,-0.126159,nan,0.019434,0.0229214,0.0441088,-0.000887411,-0.00129782,-9.70713e-05,-0.00272642,-0.00124033,-0.0160221,-2.0274e-07
18,0.824274,37.5225,0.0220121,0,13.875,0.356932,1.73378,0.0721625,-0.0140815,24.7747,8.77915e-05,0.0146554,0.95791,11680.6,0.748095,0.303906,-0.1,0.02,18.6619,221184,0.0329166,0.0133256,0.0328568,0.0167572,-0.12186,nan,0.0201261,0.0225225,0.0463448,-0.000937816,-0.00121862,-9.66522e-05,-0.00248949,-0.00128722,-0.0157456,-2.046e-07
19,0.887725,38.0459,0.0238817,0,13.625,0.363679,1.73058,0.070788,-0.0140488,24.7576,8.77915e-05,0.0124228,0.956886,11310.6,0.800374,0.286038,-0.1,0.02,19.7497,233472,0.0340439,0.0135544,0.0331714,0.0168304,-0.124175,nan,0.0216972,0.0229602,0.0489422,-0.00110247,-0.0011892,-9.28263e-05,-0.00283792,-0.00149111,-0.015925,-2.06857e-07
20,0.889847,37.264,0.0275661,0,13.4167,0.366758,1.72012,0.0667415,-0.0129392,24.7383,8.77915e-05,0.0188463,0.955891,11578.2,0.779419,0.281884,-0.1,0.02,20.8126,245760,0.0320385,0.013041,0.0319236,0.0164671,-0.121317,nan,0.0216708,0.0224099,0.0506087,-0.0011402,-0.00111984,-9.24531e-05,-0.00249068,-0.00147374,-0.0160334,-2.06998e-07
